Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,%Drafted,FPTS
1,825802622,timwoodbury10,0,229.08,WR J.J. Nelson DST Cardinals  FLEX Kareem Hunt QB Tom Brady TE Rob Gronkowski WR Keenan Allen WR Jermaine Kearse RB C.J. Anderson RB Ty Montgomery,,Ty Montgomery,37.35%,29
2,826093825,brentkrug,0,224.68,DST Ravens  WR Allen Hurns QB Tom Brady FLEX Chris Hogan TE Rob Gronkowski WR Keenan Allen RB C.J. Anderson RB Ty Montgomery WR Davante Adams,,Tyreek Hill,25.31%,8.9
3,820403501,CONDIA (2/150),0,222.48,WR J.J. Nelson RB Kareem Hunt QB Tom Brady TE Rob Gronkowski WR Brandon Coleman WR Keenan Allen DST Raiders  FLEX C.J. Anderson RB Todd Gurley II,,Julio Jones,21.60%,18.8
4,827631199,anilprao88 (80/150),0,220.18,WR J.J. Nelson QB Tom Brady TE Rob Gronkowski WR Brandon Coleman WR Mike Evans DST Buccaneers  FLEX Jarvis Landry RB Melvin Gordon RB C.J. Anderson,,Coby Fleener,20.85%,12.3
5,824604255,zexyworlock (10/33),0,219.58,DST Ravens  WR J.J. Nelson RB Kareem Hunt QB Tom Brady FLEX James White TE Rob Gronkowski WR Kenny Stills WR Michael Crabtree RB Ty Montgomery,,Keenan Allen,20.71%,22
5,828312589,StraightFizz2014 (2/4),0,219.58,DST Ravens  TE Travis Kelce QB Tom Brady WR Jarvis Landry WR Keenan Allen RB C.J. Anderson WR Demaryius Thomas RB Ty Montgomery FLEX Davante Adams,,Chris Hogan,19.90%,18.8
7,828278952,GrindersCam (60/125),0,219.08,DST Ravens  WR J.J. Nelson QB Tom Brady WR Chris Hogan TE Rob Gronkowski WR Kendall Wright RB Jay Ajayi FLEX Michael Crabtree RB C.J. Anderson,,Kareem Hunt,19.19%,25.9
8,825147305,MephistoIi (3/4),0,217.98,FLEX Travis Kelce QB Tom Brady RB James White WR Chris Hogan TE Rob Gronkowski DST Buccaneers  WR Keenan Allen RB Ty Montgomery WR Davante Adams,,Melvin Gordon,18.35%,20.8
9,826008926,meaganjoy (59/150),0,216.58,DST Ravens  WR Alshon Jeffery QB Tom Brady TE Rob Gronkowski WR Brandon Coleman WR Martavis Bryant RB Jay Ajayi RB C.J. Anderson FLEX Ty Montgomery,,Larry Fitzgerald,18.08%,5.1
10,821729605,kingpea85,0,216.48,WR J.J. Nelson WR Marqise Lee QB Tom Brady RB James White TE Rob Gronkowski WR Mike Evans DST Buccaneers  FLEX Todd Gurley II RB Ty Montgomery,,Tom Brady,17.00%,33.78
